person_id	surface	reading	kind	note	added
nijisanji-saikiittetsu	佐伯	さいき	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-saikiittetsu	イッテツ	いってつ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-murakumokagetsu	叢雲	むらくも	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-murakumokagetsu	カゲツ	かげつ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-usamirito	宇佐美	うさみ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-usamirito	リト	りと	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-fushimigaku	伏見	ふしみ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-fushimigaku	ガク	がく	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-tamanoinana	珠乃井	たまのい	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-tamanoinana	ナナ	なな	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-akagiwen	赤城	あかぎ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-akagiwen	ウェン	うぇん	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-sakakiness	榊	さかき	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-sakakiness	ネス	ねす	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shishidoakari	獅子堂	ししどう	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shishidoakari	あかり	あかり	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-yuzukiroa	夢月	ゆづき	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-yuzukiroa	ロア	ろあ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kitakojihisui	北小路	きたこうじ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kitakojihisui	ヒスイ	ひすい	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-matsukaimao	魔使	まつかい	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-matsukaimao	マオ	まお	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-nagisatrout	渚	なぎさ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-nagisatrout	トラウト	とらうと	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-ienagamugi	家長	いえなが	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-ienagamugi	むぎ	むぎ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-saotomeberry	早乙女	さおとめ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-saotomeberry	ベリー	べりー	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kuroishiba	黒井	くろい	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kuroishiba	しば	しば	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kuramochimeruto	倉持	くらもち	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kuramochimeruto	めると	めると	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-yamagamikaruta	山神	やまがみ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-yamagamikaruta	カルタ	かるた	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kaburakiroco	鏑木	かぶらき	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kaburakiroco	ろこ	ろこ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shigariko	司賀	しが	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shigariko	りこ	りこ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kiraratamako	雲母	きらら	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kiraratamako	たまこ	たまこ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-sorahoshikirame	空星	そらほし	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-sorahoshikirame	きらめ	きらめ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-todokohaku	東堂	とうどう	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-todokohaku	コハク	こはく	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-yagurumarine	矢車	やぐるま	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-yagurumarine	りね	りね	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-harusakiair	春崎	はるさき	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-harusakiair	エアル	えある	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-ushimiichigo	宇志海	うしみ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-ushimiichigo	いちご	いちご	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kaminagataiga	神永	かみなが	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kaminagataiga	タイガ	たいが	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shibuyahajime	渋谷	しぶや	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shibuyahajime	ハジメ	はじめ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-minamomadoka	水面	みなも	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-minamomadoka	まどか	まどか	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-amagasemuyu	天ヶ瀬	あまがせ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-amagasemuyu	むゆ	むゆ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shiroseisumi	城瀬	しろせ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shiroseisumi	いすみ	いすみ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shirasaayane	白砂	しらさ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shirasaayane	あやね	あやね	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-sumeragireo	皇	すめらぎ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-sumeragireo	れお	れお	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kadoumikaru	蝸堂	かどう	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kadoumikaru	みかる	みかる	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-hanakagotsubasa	花籠	はなかご	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-hanakagotsubasa	つばさ	つばさ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-senriayumu	千凛	せんり	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-senriayumu	あゆむ	あゆむ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-togawanonoha	十河	とがわ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-togawanonoha	ののは	ののは	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shinomiyayuno	篠宮	しのみや	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-shinomiyayuno	ゆの	ゆの	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-asukahina	飛鳥	あすか	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-asukahina	ひな	ひな	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kokonamiiruka	小々波	ここなみ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-kokonamiiruka	いるか	いるか	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
nijisanji-akiraray	明楽	あきら	family_name	公式ふりがなの語区切り＋かな境界で分割	2026-09-09
nijisanji-akiraray	レイ	れい	given_name	公式ふりがなの語区切り＋かな境界で分割	2026-09-09
hololive-sakuramiko	さくら	さくら	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
hololive-sakuramiko	みこ	みこ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
hololive-nakiriayame	百鬼	なきり	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
hololive-nakiriayame	あやめ	あやめ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
hololive-yuzukichoco	癒月	ゆづき	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
hololive-yuzukichoco	ちょこ	ちょこ	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
hololive-shishirobotan	獅白	ししろ	family_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
hololive-shishirobotan	ぼたん	ぼたん	given_name	公式ローマ字の語区切り＋かな境界で分割	2026-09-09
hololive-akaihaato	赤井	あかい	family_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-akaihaato	はあと	はあと	given_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-natsuiromatsuri	夏色	なついろ	family_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-natsuiromatsuri	まつり	まつり	given_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-oozorasubaru	大空	おおぞら	family_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-oozorasubaru	スバル	すばる	given_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-ookamimio	大神	おおかみ	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-ookamimio	ミオ	みお	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-nekomataokayu	猫又	ねこまた	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-nekomataokayu	おかゆ	おかゆ	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-inugamikorone	戌神	いぬがみ	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-inugamikorone	ころね	ころね	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-shiranuiflare	不知火	しらぬい	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-shiranuiflare	フレア	ふれあ	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-shiroganenoel	白銀	しろがね	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-shiroganenoel	ノエル	のえる	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-tsunomakiwatame	角巻	つのまき	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-tsunomakiwatame	わため	わため	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-tokoyamitowa	常闇	とこやみ	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-tokoyamitowa	トワ	とわ	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-himemoriluna	姫森	ひめもり	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-himemoriluna	ルーナ	るーな	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-yukihanalamy	雪花	ゆきはな	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-yukihanalamy	ラミィ	らみぃ	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-momosuzunene	桃鈴	ももすず	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-momosuzunene	ねね	ねね	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-omarupolka	尾丸	おまる	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-omarupolka	ポルカ	ぽるか	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-takanelui	鷹嶺	たかね	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-takanelui	ルイ	るい	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-hakuikoyori	博衣	はくい	family_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-hakuikoyori	こより	こより	given_name	Wikipedia かな表記の語区切り＋かな境界で分割	2026-09-09
hololive-kazamairoha	風真	かざま	family_name	Wikidata かな表記の語区切り＋かな境界で分割	2026-09-09
