person_id	surface	reading	reading_source	source_url	org	org_source_url	status	added	note
nijisanji-furenelustario	フレン・E・ルスタリオ	ふれんいーるすたりお	org_kana	https://www.nijisanji.jp/talents/l/furen-e-lustario	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-amamiyakokoro	天宮こころ	あまみやこころ	org_kana	https://www.nijisanji.jp/talents/l/kokoro-amamiya	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-ryushen	緑仙	りゅーしぇん	org_kana	https://www.nijisanji.jp/talents/l/ryushen	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-honmahimawari	本間ひまわり	ほんまひまわり	org_kana	https://www.nijisanji.jp/talents/l/himawari-honma	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-suzuharalulu	鈴原るる	すずはらるる	org_kana	https://www.nijisanji.jp/talents/l/lulu-suzuhara	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-albanknox	アルバーン・ノックス	あるばーんのっくす	org_kana	https://www.nijisanji.jp/talents/l/alban-knox	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-kaidaharu	甲斐田晴	かいだはる	org_kana	https://www.nijisanji.jp/talents/l/haru-kaida	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-saegusaakina	三枝明那	さえぐさあきな	org_kana	https://www.nijisanji.jp/talents/l/akina-saegusa	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-elu	える	える	org_kana	https://www.nijisanji.jp/talents/l/elu	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-melocokyoran	狂蘭 メロコ	きょうらんめろこ	org_kana	https://www.nijisanji.jp/talents/l/meloco-kyoran	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-nuisociere	ニュイ・ソシエール	にゅいそしえーる	org_kana	https://www.nijisanji.jp/talents/l/nui-sociere	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-nishizonochigusa	西園チグサ	にしぞのちぐさ	org_kana	https://www.nijisanji.jp/talents/l/chigusa-nishizono	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-suosango	周央サンゴ	すおうさんご	org_kana	https://www.nijisanji.jp/talents/l/sango-suo	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-ukivioleta	浮奇・ヴィオレタ	うきゔぃおれた	org_kana	https://www.nijisanji.jp/talents/l/uki-violeta	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-joerikiichi	ジョー・力一	じょーりきいち	org_kana	https://www.nijisanji.jp/talents/l/joe-rikiichi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-wataraihibari	渡会雲雀	わたらいひばり	org_kana	https://www.nijisanji.jp/talents/l/hibari-watarai	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-sukoyakana	健屋花那	すこやかな	org_kana	https://www.nijisanji.jp/talents/l/kana-sukoya	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-debidebidebiru	でびでび・でびる	でびでびでびる	org_kana	https://www.nijisanji.jp/talents/l/debidebi-debiru	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-ennaalouette	エナー・アールウェット	えなーあーるうぇっと	org_kana	https://www.nijisanji.jp/talents/l/enna-alouette	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-hayamamarin	葉山舞鈴	はやままりん	org_kana	https://www.nijisanji.jp/talents/l/marin-hayama	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-ratnapetit	ラトナ・プティ	らとなぷてぃ	org_kana	https://www.nijisanji.jp/talents/l/ratna-petit	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-sisterclaire	シスター・クレア	しすたーくれあ	org_kana	https://www.nijisanji.jp/talents/l/sister-claire	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-mashiromeme	ましろ爻	ましろめめ	org_kana	https://www.nijisanji.jp/talents/l/meme-mashiro	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-yorumirena	夜見れな	よるみれな	org_kana	https://www.nijisanji.jp/talents/l/rena-yorumi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-makainoririmu	魔界ノりりむ	まかいのりりむ	org_kana	https://www.nijisanji.jp/talents/l/makaino-ririmu	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-rindoumikoto	竜胆尊	りんどうみこと	org_kana	https://www.nijisanji.jp/talents/l/mikoto-rindou	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-exalbio	エクス・アルビオ	えくすあるびお	org_kana	https://www.nijisanji.jp/talents/l/ex-albio	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-hanabatakechaika	花畑チャイカ	はなばたけちゃいか	org_kana	https://www.nijisanji.jp/talents/l/chaika-hanabatake	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-nagaokei	長尾景	ながおけい	org_kana	https://www.nijisanji.jp/talents/l/kei-nagao	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-takamiyarion	鷹宮リオン	たかみやりおん	org_kana	https://www.nijisanji.jp/talents/l/rion-takamiya	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-renzotto	レン ゾット	れんぞっと	org_kana	https://www.nijisanji.jp/talents/l/ren-zotto	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-sonnybrisko	サニー・ブリスコー	さにーぶりすこー	org_kana	https://www.nijisanji.jp/talents/l/sonny-brisko	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-elirapendora	エリーラ ペンドラ	えりーらぺんどら	org_kana	https://www.nijisanji.jp/talents/l/elira-pendora	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-leosvincent	レオス・ヴィンセント	れおすゔぃんせんと	org_kana	https://www.nijisanji.jp/talents/l/leos-vincent	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-petragurin	ペトラ グリン	ぺとらぐりん	org_kana	https://www.nijisanji.jp/talents/l/petra-gurin	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-koyanagirou	小柳ロウ	こやなぎろう	org_kana	https://www.nijisanji.jp/talents/l/rou-koyanagi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-shikinagiakira	四季凪アキラ	しきなぎあきら	org_kana	https://www.nijisanji.jp/talents/l/akira-shikinagi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-belmondbanderas	ベルモンド・バンデラス	べるもんどばんでらす	org_kana	https://www.nijisanji.jp/talents/l/belmond-banderas	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-hoshirubesho	星導ショウ	ほしるべしょう	org_kana	https://www.nijisanji.jp/talents/l/sho-hoshirube	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-millieparfait	ミリー・パフェ	みりーぱふぇ	org_kana	https://www.nijisanji.jp/talents/l/millie-parfait	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-hakasefuyuki	葉加瀬冬雪	はかせふゆき	org_kana	https://www.nijisanji.jp/talents/l/fuyuki-hakase	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-mariamarionette	マリア マリオネット	まりあまりおねっと	org_kana	https://www.nijisanji.jp/talents/l/maria-marionette	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-shioriharuri	栞葉るり	しおりはるり	org_kana	https://www.nijisanji.jp/talents/l/ruri-shioriha	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-finanaryugu	フィナーナ 竜宮	ふぃなーなりゅうぐう	org_kana	https://www.nijisanji.jp/talents/l/finana-ryugu	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-maimotokeisuke	舞元啓介	まいもとけいすけ	org_kana	https://www.nijisanji.jp/talents/l/keisuke-maimoto	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-lainpaterson	レイン・パターソン	れいんぱたーそん	org_kana	https://www.nijisanji.jp/talents/l/lain-paterson	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-shirayukitomoe	白雪巴	しらゆきともえ	org_kana	https://www.nijisanji.jp/talents/l/tomoe-shirayuki	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-uzukikou	卯月コウ	うづきこう	org_kana	https://www.nijisanji.jp/talents/l/kou-uzuki	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-fuminotamaki	文野環	ふみのたまき	org_kana	https://www.nijisanji.jp/talents/l/tamaki-fumino	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-ishigaminozomi	石神のぞみ	いしがみのぞみ	org_kana	https://www.nijisanji.jp/talents/l/nozomi-ishigami	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-furakanato	風楽奏斗	ふうらかなと	org_kana	https://www.nijisanji.jp/talents/l/kanato-fura	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-seraphdazzlegarden	セラフ・ダズルガーデン	せらふだずるがーでん	org_kana	https://www.nijisanji.jp/talents/l/seraph-dazzlegarden	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-yuhiriri	夕陽リリ	ゆうひりり	org_kana	https://www.nijisanji.jp/talents/l/riri-yuhi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-hibachimana	緋八マナ	ひばちまな	org_kana	https://www.nijisanji.jp/talents/l/mana-hibachi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-inamirai	伊波ライ	いなみらい	org_kana	https://www.nijisanji.jp/talents/l/rai-inami	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-shellinburgundy	シェリン・バーガンディ	しぇりんばーがんでぃ	org_kana	https://www.nijisanji.jp/talents/l/shellin-burgundy	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-genzukitojiro	弦月藤士郎	げんづきとうじろう	org_kana	https://www.nijisanji.jp/talents/l/tojiro-genzuki	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-saikiittetsu	佐伯イッテツ	さいきいってつ	org_kana	https://www.nijisanji.jp/talents/l/ittetsu-saiki	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-sophiavalentine	ソフィア・ヴァレンタイン	そふぃあゔぁれんたいん	org_kana	https://www.nijisanji.jp/talents/l/sophia-valentine	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-shizukarin	静凛	しずかりん	org_kana	https://www.nijisanji.jp/talents/l/rin-shizuka	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-koshimizutoru	小清水透	こしみずとおる	org_kana	https://www.nijisanji.jp/talents/l/toru-koshimizu	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-yumeoikakeru	夢追翔	ゆめおいかける	org_kana	https://www.nijisanji.jp/talents/l/kakeru-yumeoi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-murakumokagetsu	叢雲カゲツ	むらくもかげつ	org_kana	https://www.nijisanji.jp/talents/l/kagetsu-murakumo	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-usamirito	宇佐美リト	うさみりと	org_kana	https://www.nijisanji.jp/talents/l/rito-usami	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-levielipha	レヴィ・エリファ	れゔぃえりふぁ	org_kana	https://www.nijisanji.jp/talents/l/levi-elipha	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-fushimigaku	伏見ガク	ふしみがく	org_kana	https://www.nijisanji.jp/talents/l/gaku-fushimi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-dola	ドーラ	どーら	org_kana	https://www.nijisanji.jp/talents/l/dola	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-kaisei	魁星	かいせい	org_kana	https://www.nijisanji.jp/talents/l/kaisei	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-oliverevans	オリバー・エバンス	おりばーえばんす	org_kana	https://www.nijisanji.jp/talents/l/oliver-evans	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-scarleyonaguni	スカーレ ヨナグニ	すかーれよなぐに	org_kana	https://www.nijisanji.jp/talents/l/scarle-yonaguni	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-tamanoinana	珠乃井ナナ	たまのいなな	org_kana	https://www.nijisanji.jp/talents/l/nana-tamanoi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-igarashirika	五十嵐梨花	いがらしりか	org_kana	https://www.nijisanji.jp/talents/l/rika-igarashi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-akagiwen	赤城ウェン	あかぎうぇん	org_kana	https://www.nijisanji.jp/talents/l/wen-akagi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-sakakiness	榊ネス	さかきねす	org_kana	https://www.nijisanji.jp/talents/l/ness-sakaki	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-shishidoakari	獅子堂あかり	ししどうあかり	org_kana	https://www.nijisanji.jp/talents/l/akari-shishido	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-yuzukiroa	夢月ロア	ゆづきろあ	org_kana	https://www.nijisanji.jp/talents/l/roa-yuzuki	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-morinakakazaki	森中花咲	もりなかかざき	org_kana	https://www.nijisanji.jp/talents/l/kazaki-morinaka	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-yangnari	ヤン ナリ	やんなり	org_kana	https://www.nijisanji.jp/talents/l/yang-nari	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-kitakojihisui	北小路ヒスイ	きたこうじひすい	org_kana	https://www.nijisanji.jp/talents/l/hisui-kitakoji	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-suzukimasaru	鈴木勝	すずきまさる	org_kana	https://www.nijisanji.jp/talents/l/masaru-suzuki	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-pontonei	先斗寧	ぽんとねい	org_kana	https://www.nijisanji.jp/talents/l/nei-ponto	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-matsukaimao	魔使マオ	まつかいまお	org_kana	https://www.nijisanji.jp/talents/l/mao-matsukai	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-milankestrel	ミラン・ケストレル	みらんけすとれる	org_kana	https://www.nijisanji.jp/talents/l/milan-kestrel	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-vantacrowbringer	ベンタクロウ ブリンガー	べんたくろうぶりんがー	org_kana	https://www.nijisanji.jp/talents/l/vantacrow-bringer	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-nanasesuzuna	七瀬すず菜	ななせすずな	org_kana	https://www.nijisanji.jp/talents/l/suzuna-nanase	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-nagisatrout	渚トラウト	なぎさとらうと	org_kana	https://www.nijisanji.jp/talents/l/trout-nagisa	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-ienagamugi	家長むぎ	いえながむぎ	org_kana	https://www.nijisanji.jp/talents/l/mugi-ienaga	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-saotomeberry	早乙女ベリー	さおとめべりー	org_kana	https://www.nijisanji.jp/talents/l/berry-saotome	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-kuroishiba	黒井しば	くろいしば	org_kana	https://www.nijisanji.jp/talents/l/shiba-kuroi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-kuramochimeruto	倉持めると	くらもちめると	org_kana	https://www.nijisanji.jp/talents/l/meruto-kuramochi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-hayasesou	早瀬走	はやせそう	org_kana	https://www.nijisanji.jp/talents/l/sou-hayase	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-yamagamikaruta	山神カルタ	やまがみかるた	org_kana	https://www.nijisanji.jp/talents/l/karuta-yamagami	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-kitamiyusei	北見遊征	きたみゆうせい	org_kana	https://www.nijisanji.jp/talents/l/yusei-kitami	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-aiaamare	アイア アマレ	あいああまれ	org_kana	https://www.nijisanji.jp/talents/l/aia-amare	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-sakuraritsuki	桜凛月	さくらりつき	org_kana	https://www.nijisanji.jp/talents/l/ritsuki-sakura	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-hanamacchia	ハナ マキア	はなまきあ	org_kana	https://www.nijisanji.jp/talents/l/hana-macchia	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-fumi	フミ	ふみ	org_kana	https://www.nijisanji.jp/talents/l/fumi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-sakayorisoma	酒寄颯馬	さかよりそうま	org_kana	https://www.nijisanji.jp/talents/l/soma-sakayori	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-umiseyotsuha	海妹四葉	うみせよつは	org_kana	https://www.nijisanji.jp/talents/l/yotsuha-umise	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-kandashoichi	神田笑一	かんだしょういち	org_kana	https://www.nijisanji.jp/talents/l/shoichi-kanda	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-kurusunatsume	来栖夏芽	くるすなつめ	org_kana	https://www.nijisanji.jp/talents/l/natsume-kurusu	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
